code,description
01,Live animals
02,Meat and edible meat offal
03,"Fish and crustaceans, mollusks and other aquatic invertebrates"
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin"
05,Products of animal origin not elsewhere specified or included
06,"Live trees and other plants; bulbs, roots and cut flowers"
07,"Edible vegetables and certain roots and tubers"
08,"Edible fruit and nuts; peel of citrus fruit or melons"
09,"Coffee, tea, mate and spices"
10,Cereals
11,"Products of the milling industry; malt; starches; inulin; wheat gluten"
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit"
13,"Lac; gums, resins and other vegetable saps and extracts"
14,Vegetable plaiting materials and other vegetable products
15,"Animal or vegetable fats and oils and their cleavage products"
16,"Preparations of meat, fish, crustaceans, mollusks or other aquatic invertebrates"
17,Sugars and sugar confectionery
18,Cocoa and cocoa preparations
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products"
20,"Preparations of vegetables, fruit, nuts or other parts of plants"
21,Miscellaneous edible preparations
22,"Beverages, spirits and vinegar"
23,"Residues and waste from the food industries; prepared animal fodder"
24,"Tobacco and manufactured tobacco substitutes"
25,"Salt; sulfur; earths and stone; plastering materials, lime and cement"
26,"Ores, slag and ash"
27,"Mineral fuels, mineral oils and products of their distillation"
28,"Inorganic chemicals; organic or inorganic compounds of precious metals"
29,Organic chemicals
30,Pharmaceutical products
31,Fertilizers
32,"Tanning or dyeing extracts; tannins; dyes, pigments, paints and varnishes"
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"
34,"Soap, organic surface-active agents, washing and lubricating preparations"
35,"Albuminoidal substances; modified starches; glues; enzymes"
36,"Explosives; pyrotechnic products; matches; pyrophoric alloys"
37,Photographic or cinematographic goods
38,Miscellaneous chemical products
39,Plastics and articles thereof
40,Rubber and articles thereof
41,"Raw hides and skins other than furskins, and leather"
42,"Articles of leather; saddlery and harness; travel goods and handbags"
43,"Furskins and artificial fur; manufactures thereof"
44,Wood and articles of wood; wood charcoal
45,Cork and articles of cork
46,"Manufactures of straw, esparto or other plaiting materials"
47,"Pulp of wood or other fibrous cellulosic material; recovered paper"
48,"Paper and paperboard; articles of paper pulp, paper or paperboard"
49,"Printed books, newspapers, pictures and other products of the printing industry"
50,Silk
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"
52,Cotton
53,"Other vegetable textile fibers; paper yarn and woven fabrics of paper yarn"
54,Man-made filaments
55,Man-made staple fibers
56,"Wadding, felt and nonwovens; special yarns; twine, cordage and cables"
57,Carpets and other textile floor coverings
58,"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings"
59,"Impregnated, coated, covered or laminated textile fabrics"
60,Knitted or crocheted fabrics
61,Articles of apparel and clothing accessories; knitted or crocheted
62,Articles of apparel and clothing accessories; not knitted or crocheted
63,"Other made-up textile articles; sets; worn clothing and worn textile articles"
64,"Footwear, gaiters and the like; parts of such articles"
65,Headgear and parts thereof
66,"Umbrellas, walking sticks, seat-sticks, whips and riding-crops"
67,"Prepared feathers and down; artificial flowers; articles of human hair"
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials"
69,Ceramic products
70,Glass and glassware
71,"Natural or cultured pearls, precious stones, precious metals and coins"
72,Iron and steel
73,Articles of iron or steel
74,Copper and articles thereof
75,Nickel and articles thereof
76,Aluminum and articles thereof
77,Reserved for possible future use
78,Lead and articles thereof
79,Zinc and articles thereof
80,Tin and articles thereof
81,"Other base metals; cermets; articles thereof"
82,"Tools, implements, cutlery, spoons and forks, of base metal"
83,Miscellaneous articles of base metal
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof"
85,"Electrical machinery and equipment and parts thereof"
86,"Railway or tramway locomotives, rolling stock and parts thereof"
87,"Vehicles other than railway or tramway rolling stock; parts and accessories thereof"
88,"Aircraft, spacecraft and parts thereof"
89,"Ships, boats and floating structures"
90,"Optical, photographic, measuring, precision, medical or surgical instruments"
91,Clocks and watches and parts thereof
92,Musical instruments; parts and accessories thereof
93,"Arms and ammunition; parts and accessories thereof"
94,"Furniture; bedding; lamps and lighting fittings; prefabricated buildings"
95,"Toys, games and sports equipment; parts and accessories thereof"
96,Miscellaneous manufactured articles
97,"Works of art, collectors' pieces and antiques"
98,Special classification provisions
99,Temporary legislation and additional import restrictions; imports only
